Category,Issue
Accessibility,Americans with Disabilities
Accessibility,City Facility
Accessibility,Handicap Parking Signs
Accessibility,Handicap Ramp Request
Accessibility,"Handicap Ramp, Repair"
Accessibility,"Handicap Ramp, Request for Installation"
Accessibility,Handicapped Parking Application
Accessibility,Handicapped Parking Sign Request
Accessibility,"Handicapped Parking Space, Residential Request"
Accessibility,Walkway or Trail
Animal Issues,Animal Waste
Animal Issues,Barking Dog
Animal Issues,Check Conditions
Animal Issues,Dead Animal
Animal Issues,Dog License
Animal Issues,Loose Dog(s)
Animal Issues,Off Leash Exercise Area
Animal Issues,Rodent control
Ask Us/General FAQs,CitiParks Programs
Ask Us/General FAQs,City Clerk
Ask Us/General FAQs,City Council
Ask Us/General FAQs,Economic Development
Ask Us/General FAQs,Finance Department
Ask Us/General FAQs,Fire Department
Ask Us/General FAQs,Mayor's Office
Ask Us/General FAQs,Police Department
Ask Us/General FAQs,Public Works Department
Building Issues,Building (Commercial)
Building Issues,Building (Residential)
Building Issues,Building Benchmark Ordinance
Building Issues,Building Violation (Commercial - 4 or more units)
Building Issues,Building Violation (Residential)
Building Maintenance,Broken Sidewalk
Building Maintenance,Building Maintenance
Building Maintenance,Building or Property Maintenance
Building Maintenance,Electrical Violation
Building Maintenance,Fence Maintenance
Building Maintenance,HVAC
Building Maintenance,HVAC Not Functioning
Building Maintenance,Maintenance Issue
Business Issues,Billing
Business Issues,Billing or Shut Off
Business Issues,Business Accessibility
Business Issues,Earned Income Tax
Business Issues,EMS Billing
Business Issues,Homestead Act/Senior Tax Relief
Business Issues,Operating in Residential Zone
Business Issues,Operating Without a License
Business Issues,Sign
Business Issues,Snow Angel Intake
Business Issues,Snow Angel Volunteer
Business Issues,Zoning Issue
City Facilities and Infrastructure,City Facility
City Facilities and Infrastructure,"City Steps, Need Cleared"
City Facilities and Infrastructure,"City Steps, Need Repaired"
City Facilities and Infrastructure,"Court, Basketball or Tennis"
City Facilities and Infrastructure,Fence
City Facilities and Infrastructure,Housing Authority
City Facilities and Infrastructure,Retaining Wall (Public Property)
City Facilities and Infrastructure,Water/Drinking Fountains
"Communications (Cable, Website)",Cable Bureau/Programming
"Communications (Cable, Website)",City Website
"Communications (Cable, Website)",Mobile Phone App
Construction Issues,Accessibility Construction Issue
Construction Issues,Board Up (PLI referral to DPW)
Construction Issues,Bollard Repair/Maintenance
Construction Issues,Building Without a Permit
Construction Issues,Bus Shelter
Construction Issues,Bus Shelter Relocation Request
Construction Issues,Construction Site Maintenance
Construction Issues,Demolition
Construction Issues,Demolition (Residential)
Construction Issues,Dumpster
Construction Issues,Improper Work in a Historic District
Construction Issues,Unpermitted Demolition
Construction Issues,Unpermitted Electrical Work
Construction Issues,Unpermitted Fire System Work
Construction Issues,Unpermitted HVAC Work
Construction Issues,Unpermitted Land Operations
Construction Issues,Unpermitted Sign Construction
DELETE,Building (Commercial)/DO NOT USE
DELETE,Building (Residential)/DO NOT USE
DELETE,Building Violation (Residential)/DO NOT USE
DELETE,Demolition - DO NOT USE
DELETE,Dumping (Private Property)/DO NOT USE
DELETE,Environmental Services - DO NOT USE/Test
DELETE,Towed Vehicle/Do Not Use
DELETE,Tree Issue (Private Property)/DO NOT USE
DELETE,Vacant Building (Residential)/DO NOT USE
Garbage and Litter Issues,Bulk
Garbage and Litter Issues,Commercial Refuse/Dumpsters
Garbage and Litter Issues,Early Set Out
Garbage and Litter Issues,Illegal Dumping
Garbage and Litter Issues,Late Set Out
Garbage and Litter Issues,"Leaves, Grass or Other Yard Debris"
Garbage and Litter Issues,Litter
Garbage and Litter Issues,Litter Can
Garbage and Litter Issues,"Litter Can, Public"
Garbage and Litter Issues,Missed Blue Bag
Garbage and Litter Issues,Missed Pick Up
Garbage and Litter Issues,Recycling
Garbage and Litter Issues,Refuse Violations 
Garbage and Litter Issues,Schedule Request
Garbage and Litter Issues,Special Pick Up
Garbage and Litter Issues,Violations 
Graffiti Issues,Graffiti
Graffiti Issues,"Graffiti, Documentation"
Graffiti Issues,"Graffiti, Owner Refused DPW Removal"
Graffiti Issues,"Graffiti, Removal"
Neighborhood Issues,Couch on Porch
Neighborhood Issues,Dumping
Neighborhood Issues,Dumping (Private Property)
Neighborhood Issues,"Dumping, Private Property"
Neighborhood Issues,Excessive Noise/Disturbances
Neighborhood Issues,Junk Vehicle (parked on private property)
Neighborhood Issues,Junk Vehicles
Neighborhood Issues,Overcrowding
Neighborhood Issues,Planning Issues
Neighborhood Issues,Sign (Private Property)
Neighborhood Issues,"Signs, Advertising or Political"
Neighborhood Issues,Stormwater Runoff
Neighborhood Issues,Tenant/Landlord Problems
Neighborhood Issues,Tree Issues
Neighborhood Issues,Vacant Building
Neighborhood Issues,Weeds/Debris
Parking,Abandoned Vehicle (parked on street)
Parking,Boat/Trailer on Street
Parking,Illegal Parking
Parking,Meter (broken)
Parking,No Parking Variance
Parking,Parking Authority
Parking,Parking Garage
Parking,Parking Lot
Parking,"Parking Lot, PPA Parking Lot"
Parking,Parking Meter Request
Parking,"Ticket, Pgh Parking Authority"
Parking,"Ticket, Police-issued"
Parking,Towed Vehicle
Parks Issues,Field
Parks Issues,Lights
Parks Issues,"Overgrowth, Parks"
Parks Issues,Park Ranger
Parks Issues,Park Shelter
Parks Issues,Parks Trails
Parks Issues,Playground
Parks Issues,Program
Parks Issues,Shelters
Parks Issues,Water/Drinking Fountains
Pedestrian/Bicycle Concerns,Bicycle Parking
Pedestrian/Bicycle Concerns,Bicycle/Pedestrian Concerns
Pedestrian/Bicycle Concerns,Bicycle/Pedestrian/Trail - Network Improvements
Pedestrian/Bicycle Concerns,Bike Lane Bollard
Pedestrian/Bicycle Concerns,Bike Rack Request
Pedestrian/Bicycle Concerns,Bike Trail Maintenance
Pedestrian/Bicycle Concerns,Pedestrian/Bicycle Concerns
Permits,Alarm Permit
Permits,Dumpster (on Street)
Permits,Permit Parking (Request for RPP zone)
Permits,Permit Parking (Residential Parking Permit)
Permits,Permits
Permits,"Permits, Licenses and Inspections"
Personnel (City),Benefits
Personnel (City),Employment/Hiring
Personnel (City),Performance
Personnel (City),Procedure
Personnel (City),Residency
Personnel (City),Thank You
Personnel (City),Thank You - 311
Personnel (City),Thank You - CitiParks
Personnel (City),Thank You - DOMI
Personnel (City),Thank You - DPW
Personnel (City),Thank You - EMS
Personnel (City),Thank You - Finance
Personnel (City),Thank You - PLI Personnel
Personnel (City),Thank You - Police
Personnel (City),Thank You - PWSA
Public Safety,Crossing Guards
Public Safety,Drug Enforcement
Public Safety,EMS Procedures
Public Safety,Fire Lane
Public Safety,Fire Prevention
Public Safety,Fire Safety System Issue
Public Safety,"Fire Safety System, Lack of Permit"
Public Safety,Fire Safety Sytem Not Working
Public Safety,Gang Activity
Public Safety,Health Hazard
Public Safety,Homeless
Public Safety,Noise
Public Safety,Nuisance Bar
Public Safety,Panhandling
Public Safety,Patrol
Public Safety,Prostitution
Public Safety,Smoke detectors
Public Safety,Speeding
Road/Street Issues,Barricades
Road/Street Issues,Basketball Hoop
Road/Street Issues,Blocked or Closed Sidewalks
Road/Street Issues,Brick/block or concrete slab repair
Road/Street Issues,Bridge Maintenance
Road/Street Issues,Bus Stop Request
Road/Street Issues,Curb /Angle Iron/Metal Exposed
Road/Street Issues,Curb /Broken/Deteriorated
Road/Street Issues,Curb Cuts
Road/Street Issues,Curb paint
Road/Street Issues,Curb paint application
Road/Street Issues,Curb/Request for Asphalt Windrow
Road/Street Issues,Drainage/Leak
Road/Street Issues,Guide Rail
Road/Street Issues,Hydrant - Fire Admin
Road/Street Issues,Landslide
Road/Street Issues,Leaves/Street Cleaning
Road/Street Issues,Line Striping/Curb Painting (Maintenance Issue)
Road/Street Issues,Line Striping/Curb Painting (New Request)
Road/Street Issues,Loading Zone
Road/Street Issues,Loading zone application
Road/Street Issues,"Loading Zone, Request"
Road/Street Issues,New Crosswalk Request
Road/Street Issues,Overgrowth
Road/Street Issues,Paving Concern/Problem
Road/Street Issues,Paving Request
Road/Street Issues,Pedestrian Signal Maintenance
Road/Street Issues,Pedestrian Signal Request
Road/Street Issues,Port A Potty
Road/Street Issues,Potholes
Road/Street Issues,Potholes-Test
Road/Street Issues,Replace/Repair a Sign
Road/Street Issues,Replace/Repair Sign
Road/Street Issues,Request New Sign
Road/Street Issues,Retaining Wall
Road/Street Issues,Retaining Wall Maintenance
Road/Street Issues,Road
Road/Street Issues,Salt Box
Road/Street Issues,Sinkhole
Road/Street Issues,Snow/Ice removal
Road/Street Issues,Street Cleaning/Sweeping
Road/Street Issues,Street Obstruction/Closure
Road/Street Issues,Utility Cut - Other
Road/Street Issues,Utility Cut - PWSA
Sidewalk Issues,Sidewalk
Sidewalk Issues,Sidewalk (city property)
Sidewalk Issues,Sidewalk (City Property)
Sidewalk Issues,Sidewalk Closure Violation
Sidewalk Issues,Sidewalk Obstruction
Sidewalk Issues,"Sidewalk, Damaged"
Sidewalk Issues,"Sidewalk, Damaged/DO NOT USE"
Sidewalk Issues,"Sidewalk, Damaged/DO NOT USE"
Sidewalk Issues,"Sidewalk, Lack of Snow/Ice Removal"
Sidewalk Issues,"Sidewalk, Lack of Snow/Ice Removal"
Sidewalk Issues,"Sidewalk, Obstruction"
Sidewalk Issues,"Sidewalk, Overgrowth/Obstruction"
Sidewalk Issues,"Sidewalk, Overgrowth/Obstruction"
Street Light,Street Light - Increased Wattage
Street Light,Street Light - Repair
Street Light,Street Light - Request
Street Light,Street Light Repair
Taxes,Amusement Tax
Taxes,EMT
Taxes,Parking Tax
Taxes,Payroll Expense Tax
Taxes,Property Purchase
Taxes,Real Estate Tax
Taxes,Side Yard Program
Traffic and Street Sign Issues,Traffic
Traffic and Street Sign Issues,Traffic Calming
Traffic and Street Sign Issues,Traffic Enforcement
Traffic and Street Sign Issues,"Traffic or Pedestrian Signal, Repair"
Traffic and Street Sign Issues,"Traffic or Pedestrian Signal, Request"
Traffic and Street Sign Issues,Traffic Shop 
Traffic and Street Sign Issues,Traffic Signal Request
Traffic and Street Sign Issues,Traffic Signals Surtrac
Tree Issues,Cited Root Prunes
Tree Issues,Dead Tree (3TB)
Tree Issues,Dead tree (Public property)
Tree Issues,Planting
Tree Issues,Pruning (city tree)
Tree Issues,Root prune (City tree buckling private sidewalk)
Tree Issues,Stump Grind/Removal
Tree Issues,Tree Fallen Across Road
Tree Issues,Tree Fallen Across Sidewalk
Tree Issues,Tree Issue (Private Property)
Tree Issues,Tree Removal
Tree Issues,Tree/Stump Removal
Unknown,City Source (CDBG)
Unknown,Illegal
Unknown,KNOWLEDGE BASE ARTICLES
Unknown,Medical Exemption - Tote
Unknown,New Request
Unknown,Other (please describe)
Unknown,Reject to 311
Utility Issues,Catch Basin Clogged
Utility Issues,Collapsed Catch Basin
Utility Issues,Hydrant
Utility Issues,Leak
Utility Issues,Manhole Cover
Utility Issues,Manhole Cover - Other
Utility Issues,Manhole Covers
Utility Issues,"Manhole Covers, PWSA"
Utility Issues,Meter (Water)
Utility Issues,No Water
Utility Issues,PWSA Billing or Shut Off
Utility Issues,Sewers
Utility Issues,"Sinkhole, PWSA"
Utility Issues,Utility Pole
Utility Issues,Water Main Break
Utility Issues,Water Pressure
Utility Issues,Wires
Vacant Building Issues,DO NOT USE (Vacant and Open Building)
Vacant Building Issues,Vacant and Open Building
Vacant Building Issues,Vacant Building (Residential)
Weeds/Debris,City Park
Weeds/Debris,Overgrown lot (3TB)
Weeds/Debris,Public Right of Way
Weeds/Debris,Weeds/Debris (Private Property)
